CalendarYear,Species,[a hound shark],,[a wedgefish],Australian sharpnose shark,Banjofish,Bigeye sixgill shark,Blacktip reef shark,Blacktip whaler shark,Blind Shark,Colclough's Shark,Creek whaler,Eagle ray,Endeavour Dogfish,Giant shovelnose ray,Great hammerhead shark,Greeneye dogfish,Grey carpet shark,guitarfish,Guitarfishes - shovelnose unsp,Hammerhead shark,"Milk, Sharpnose & Hardnose Sharks",Nervous shark,Oceanic whitetip shark,Pigeye & Bull Sharks,Ray - blue spotted sting,Ray - cowtail sting,Ray - eastern fiddler,Ray - manta,Ray - spotted eagle,Ray - sting unspecified,Ray - white spotted guitarfish,Shark - angel unspecified,Shark - australian blacktip,Shark - Blacktip Whalers and Graceful,Shark - blue whaler,Shark - bronze whaler,Shark - bull,Shark - dusky,Shark - eastern shovel nose,Shark - epaulette,Shark - fins unspecified,Shark - fossil,Shark - graceful,Shark - grey nurse,Shark - grey reef,Shark - gummy,Shark - hardnose,Shark - lemon,Shark - leopard,Shark - mako,Shark - milk,Shark - pigeye,Shark - sandbar,Shark - scalloped hammerhead,Shark - school,Shark - silky,Shark - silver tip,Shark - Snaggletooth and Weasel,Shark - sorrah,Shark - spinner,Shark - tawny,Shark - tiger,Shark - unspecified,Shark - weasel,Shark - whaler unspecified,Shark - white cheek,Shark - white tip reef,Shark - wobbegong,Shark ray,Sliteye Shark,Smooth Hammerhead,Winghead shark,Total Sharks Caught
1990,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,N/A,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,0
1991,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,N/A,,,N/A,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,0
1992,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,N/A,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,0
1993,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,0,,,,,,,,0,,,,,,,,,,,,,,N/A,,,,,,,,0,,,,,,,,,,0
1994,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,N/A,0,,,,,,,,0,,,,,,,,,,,,,,N/A,,,,,,,,0,,,,,,,,,,0
1995,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,,0,,,0,,,0,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,0
1996,,,,,,,,,,,,,,,,,,,,N/A,,,,,,,,0,,,102,,,6,,,N/A,,,,,0,,,,,N/A,,,,N/A,,,,,,,,,,,,N/A,322,,,,,,,,,,432
1997,,,,,,,,,,,,,,,,,,,,N/A,,,,,,N/A,,0,,,123,,,13,,,,,N/A,,N/A,0,,,,,,,,,,,,,N/A,,,,,,,,N/A,771,,,,,N/A,,,,,914
1998,,,,,,,,,,,,,,,,,N/A,,,0,,,,,,,,,,N/A,73,,,40,,N/A,N/A,,,,N/A,0,,,,,N/A,,,,N/A,,,,N/A,,,,,,,,N/A,1212,,N/A,,,N/A,,,,,1345
1999,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,6,,,12,,,N/A,,N/A,,,N/A,,,,,N/A,,,,,,,,N/A,,,,,,,,,361,,N/A,,N/A,N/A,,,,,396
2000,,,,,,,,,,,,,,,,,,,,0,,,,,,0,,,,0,26,,,39,,,12,N/A,,,,0,,,,N/A,,,N/A,,N/A,,,,20,,,,,,,,N/A,348,,,,N/A,N/A,,,,,469
2001,,,,,,,,,,,,,,,,,,,,0,,,,,,N/A,,,,8,61,,,36,,,N/A,,,,,0,,,,N/A,N/A,,,,N/A,,,,29,N/A,,,,,,N/A,N/A,376,,N/A,,N/A,0,,,,,616
